"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"R89,R59,R79,R69";"R_0402_1005Metric";4;"15k";;;
2;"T3,T2,T5,T8,T6,T1,T4,T7";"Transformer_Wuerth_74930030";8;"74930030";;;
3;"R92,R4,R2,R44,R14,R90,R1,R24,R5,R34";"R_0402_1005Metric";10;"3k9";;;
4;"C31,C11,C41,C21";"C_0402_1005Metric";4;"0µ1";;;
5;"R51,R71,R81,R61";"R_0402_1005Metric";4;"59k";;;
6;"L3";"L_Wuerth_MAPI-2512";1;"4µ7";;;
7;"R54,R74,R64,R84";"R_0402_1005Metric";4;"2k2";;;
8;"TP6";"TestPoint_Pad_D1.0mm";1;"RDYB";;;
9;"R91,R12,R42,R22,R32";"R_0402_1005Metric";5;"470R";;;
10;"C22,C25,C24,C44,C46,C97,C23,C14,C12,C13,C16,C40,C34,C96,C32,C36,C43,C42,C26,C20,C95,C10,C35,C30,C15,C33,C45";"C_0402_1005Metric";27;"100n";;;
11;"D53,D63,D83,D73";"D_0402_1005Metric";4;"BZX884B5V1L";;;
12;"C59,C92,C89,C91,C79,C69";"C_0402_1005Metric";6;"10p";;;
13;"R41,R70,R21,R80,R31,R60,R11,R50";"R_0402_1005Metric";8;"100R";;;
14;"J2";"IDC-Header_2x13_P2.54mm_Vertical";1;"Conn_02x13_Odd_Even";;;
15;"C71,C2,C61,C1,C51,C81";"C_0603_1608Metric";6;"4µ7/10V";;;
16;"C93,C86,C66,C56,C76";"C_0402_1005Metric";5;"1n";;;
17;"C75,C55,C65,C85";"C_0402_1005Metric";4;"1n5";;;
18;"R8,R52,R72,R62,R9,R82";"R_0402_1005Metric";6;"680k";;;
19;"U50,U80,U60,U70";"TSSOP-16_4.4x5mm_P0.65mm";4;"74HCT4053";;;
20;"U53,U73,U83,U63";"MSOP-10_3x3mm_P0.5mm";4;"TLV9052S";;;
21;"R67,R87,R77,R57";"R_0402_1005Metric";4;"6k2";;;
22;"R83,R73,R63,R53";"R_0402_1005Metric";4;"48k7";;;
